,aid,code,text,correct
0,22338588,143,"\n\n\n\nThen, however, Mr. LoGrande and the Islip Town Board boycotted a meeting of the Multi-Town Solid Waste Management Authority, the legal entity created to build the plant.",1
1,22345754,141,"\n\n\nAs soon as they were released, they returned to Washington to participate in  yet another demonstration, protesting, among other things, their treatment in prison.",1
2,22350045,145,"\n\n\n\n     On Oct. 8, 1969, the first day of what Weatherman had billed as its ''Days of Rage,'' a group of about 300 antiwar demonstrators, wearing helme ts and dungaree jackets with the Vietcong flag sewn on the back and carrying clubs, charged from a bonfire in Lincoln Park into a neighb oring area, smashing the windows of stores, homes and automobiles.",1
3,22369182,143,"The conservative Justice Party of Prime Minister Demirel and its chief ally, the ultrarightist National Action Party, attempted unsuccessfully to prevent a quorum by boycotting the vote.",1
4,22388603,141,"The town's only claim to fame is Tommy Kersey, the charismatic state leader of the American Agricultural Movement, who gained national notoriety three years ago as a key figure in the militant protest by farmers from across the country who drove their tractors through the streets of Washington.\n\n\n\nDespite Unadilla's barren atmosphere, its 30 businesses, four churches and single bank are the nerve center of a network extending for many miles over the countryside - a network of farm families.",1
5,22399802,186,"""Guerrillas shot and killed three election officials in Teheran, the Teheran radio said today.",1
6,22402024,143,"And the weather Saturday is expected to be sunny and pleasant.\n\n\n\nThe labor federation says that while the air traffic controllers' strike had caused many union people boycotting the airlines to cancel their Solidarity Day plans, the Reagan Administration's dismissal of 12,000 striking controllers has strengthened the resolve of other workers to attend.",1
7,22403888,143,Philadelphia teachers began a strike that one of its leaders said ''could well last till Christmas.'',1
8,22408656,143,"Until the Canadian air traffic controllers' brief boycott, air freight was heavy.",1
9,22443787,186,A platoon-sized group of noncommissioned officers burst into the executive mansion and assassinated President William Tolbert.,1
10,22448601,145,"Post offices in Los Angeles were vandalized by protesters, and seven demonstrators were arrested in the lobby of a downtown Chicago post office.\n\n\n\nRegistration was reinstituted in response to the Soviet Union invasion of Afghanistan.",1
11,22457386,143,"It was the losers' locker room, after all, and now, as Lawrence Taylor was saying, the players would have to explain ''to people who make $20,000 a year'' why athletes making more had to go on strike.\n\n\n\n''There are people making $32,000, $40,000 here,'' said the linebacker, ''and getting knocked around pretty hard for it and they average only four years in the league.",0
